구간,업무,비고,key
10일차,간식을 주문한다.,,task-86
10일차,강의평가지를 배부하고 회수한다.,,task-87
10일차,쇼핑백을 준비해 배부자료를 담아 갈 수 있도록 한다.,,task-88
10일차,수료증을 배부한다.,,task-89
10일차,경품을 배부한다.,,task-90
10일차,거래명세서와 세금계산서를 최종 수령한다.,,task-91
10일차,강의실을 정리한다.,,task-92
10일차,강의평가지 정리를 인턴에게 요청한다.,,task-93
10일차,교재에 누락된 강의자료가 있는 경우 추가 인쇄하여 배부한다.,,task-110
10일차,수강생이 모두 퇴실한 후 강의실을 잠근다.,,task-123
종료 후,강의평가지 정리 엑셀본을 확인한다.,,task-94
종료 후,결과보고서를 작성한다.,,task-95
종료 후,결과보고 결재를 올린다.,,task-96
종료 후,지출결의서 결재를 올린다.,,task-97
